The following lines contain 2177 text messages, one per line. Each text message can be classified as spam or ham (i.e., not spam).

You will be asked to answer questions about the aggregate label statistics across all 2177 examples in this dataset. Do not try to guess, estimate, or approximate the result. Calculate the exact answer given these datapoints.

Date: Apr 01, 2025 || User: 23965 || Instance: Compliments to you. Was away from the system. How your side. 
Date: Sep 23, 2024 || User: 42135 || Instance: Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will! 
Date: Sep 17, 2024 || User: 98087 || Instance: As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts 
Date: Oct 03, 2024 || User: 79821 || Instance: You are a very very very very bad girl. Or lady. 
Date: Apr 29, 2022 || User: 57948 || Instance: We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW 
Date: Sep 11, 2022 || User: 48731 || Instance: You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again 
Date: Jul 23, 2024 || User: 67277 || Instance: I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. ) 
Date: Apr 21, 2023 || User: 98699 || Instance: alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep... 
Date: Jan 15, 2024 || User: 43212 || Instance: <Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you. 
Date: Jun 10, 2023 || User: 87021 || Instance: Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge. 
Date: Mar 12, 2025 || User: 50368 || Instance: Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate. 
Date: Sep 22, 2022 || User: 92770 || Instance: Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+ 
Date: Apr 11, 2025 || User: 97042 || Instance: Why nothing. Ok anyway give me treat 
Date: Jun 06, 2024 || User: 93456 || Instance: Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412 
Date: Feb 14, 2024 || User: 78157 || Instance: This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate 
Date: Apr 17, 2023 || User: 19732 || Instance: Haha... Sounds crazy, dunno can tahan anot... 
Date: May 15, 2024 || User: 25594 || Instance: "CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO" 
Date: Mar 15, 2024 || User: 45736 || Instance: Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226. 
Date: Apr 03, 2023 || User: 43378 || Instance: Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES 
Date: May 24, 2022 || User: 78815 || Instance: Thanks honey. Have a great day. 
Date: Jul 23, 2023 || User: 96416 || Instance: Why you Dint come with us. 
Date: Apr 30, 2022 || User: 98699 || Instance: Sir, Waiting for your mail. 
Date: Dec 01, 2024 || User: 86036 || Instance: 8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+ 
Date: Apr 27, 2025 || User: 74335 || Instance: Im just wondering what your doing right now? 
Date: Jul 01, 2024 || User: 27277 || Instance: That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri.  
Date: Oct 09, 2022 || User: 19252 || Instance: Understand. his loss is my gain :) so do you work? School? 
Date: Jan 19, 2023 || User: 14841 || Instance: Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery 
Date: Aug 13, 2023 || User: 68620 || Instance: 7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st "Ur Lovely Friendship"... good morning dear 
Date: Oct 23, 2022 || User: 89992 || Instance: Call me when you get the chance plz &lt;3 
Date: Jul 30, 2022 || User: 31306 || Instance: But i'm surprised she still can guess right lor... 
Date: Feb 06, 2025 || User: 77224 || Instance: PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires 
Date: Jun 20, 2024 || User: 13289 || Instance: FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end 
Date: Jun 13, 2023 || User: 98699 || Instance: **FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270 
Date: Aug 29, 2024 || User: 44878 || Instance: Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe 
Date: Apr 21, 2022 || User: 97479 || Instance: I liked your new house 
Date: Mar 18, 2025 || User: 62250 || Instance: 5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870. 
Date: Dec 07, 2024 || User: 36821 || Instance: Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA 
Date: Feb 28, 2024 || User: 84831 || Instance: Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674& 
Date: Oct 25, 2022 || User: 77246 || Instance: What you did in  leave. 
Date: Jul 25, 2022 || User: 27068 || Instance: Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call 
Date: Nov 02, 2022 || User: 23844 || Instance: Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL 
Date: Nov 04, 2024 || User: 43615 || Instance: Sorry de i went to shop. 
Date: Dec 24, 2022 || User: 62638 || Instance: I can take you at like noon 
Date: Sep 21, 2024 || User: 11655 || Instance: Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick. 
Date: May 05, 2024 || User: 73270 || Instance: Anything lar... 
Date: Feb 24, 2022 || User: 14292 || Instance: Cool, text me when you're parked 
Date: Jul 16, 2024 || User: 19909 || Instance: U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription 
Date: Feb 10, 2025 || User: 80388 || Instance: Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50 
Date: Aug 26, 2023 || User: 90170 || Instance: Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-( 
Date: Sep 13, 2022 || User: 83559 || Instance: There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop.. 
Date: Oct 12, 2023 || User: 54860 || Instance: Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC. 
Date: Sep 27, 2023 || User: 74608 || Instance: We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705 
Date: May 04, 2022 || User: 49529 || Instance: You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo 
Date: Jan 28, 2023 || User: 25492 || Instance: U wake up already? Thanx 4 e tau sar piah it's quite nice. 
Date: Jun 11, 2022 || User: 38574 || Instance: Got it. Seventeen pounds for seven hundred ml – hope ok. 
Date: Apr 23, 2022 || User: 71398 || Instance: K:)k.are you in college? 
Date: Dec 08, 2022 || User: 45424 || Instance: My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7 
Date: Jan 14, 2024 || User: 59984 || Instance: TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468 
Date: May 14, 2023 || User: 76075 || Instance: Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's 
Date: Dec 04, 2022 || User: 69382 || Instance: We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs 
Date: Dec 01, 2023 || User: 41639 || Instance: Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX 
Date: Aug 07, 2023 || User: 63995 || Instance: Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp 
Date: Apr 13, 2024 || User: 70655 || Instance: FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop) 
Date: Apr 19, 2024 || User: 91916 || Instance: Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night 
Date: Jun 27, 2023 || User: 34013 || Instance: Sounds gd... Haha... Can... Wah, u yan jiu so fast liao... 
Date: Feb 11, 2023 || User: 59242 || Instance: Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet? 
Date: May 06, 2024 || User: 27239 || Instance: Hello, my love ! How went your day ? Are you alright ? I think of you, my sweet and send a jolt to your heart to remind you ... I LOVE YOU! Can you hear it ? I screamed it across the sea for all the world to hear. Ahmad al Hallaq is loved ! and owned ! *possessive passionate kiss* 
Date: Apr 10, 2024 || User: 18596 || Instance: ringtoneking 84484 
Date: May 15, 2022 || User: 42280 || Instance: Why don't you wait 'til at least wednesday to see if you get your . 
Date: Feb 03, 2023 || User: 48731 || Instance: Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs) 
Date: Jul 03, 2022 || User: 37617 || Instance: U coming back 4 dinner rite? Dad ask me so i re confirm wif u... 
Date: Feb 03, 2024 || User: 78815 || Instance: Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid! 
Date: Dec 12, 2022 || User: 23844 || Instance: Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize! 
Date: May 22, 2024 || User: 45736 || Instance: I only haf msn. It's yijue@hotmail.com 
Date: Dec 09, 2023 || User: 62250 || Instance: I'll be at mu in like  &lt;#&gt;  seconds 
Date: Nov 11, 2024 || User: 22976 || Instance: Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only! 
Date: May 11, 2024 || User: 28146 || Instance: Oh yes, why is it like torture watching england? 
Date: Apr 09, 2022 || User: 70806 || Instance: Already one guy loving you:-. 
Date: May 03, 2024 || User: 38574 || Instance: I can probably come by, everybody's done around  &lt;#&gt;  right? 
Date: Aug 15, 2023 || User: 85946 || Instance: Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-) 
Date: Apr 16, 2025 || User: 79032 || Instance: Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674 
Date: Feb 20, 2022 || User: 16938 || Instance: K..k:)how about your training process? 
Date: Oct 01, 2023 || User: 51941 || Instance: 5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity. 
Date: Oct 05, 2024 || User: 99752 || Instance: Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n 
Date: Feb 29, 2024 || User: 28743 || Instance: Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss* 
Date: Apr 11, 2025 || User: 98112 || Instance: Really dun bluff me leh... U sleep early too. Nite... 
Date: Mar 15, 2023 || User: 48472 || Instance: Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU 
Date: Mar 05, 2025 || User: 66609 || Instance: did u get that message 
Date: Aug 25, 2022 || User: 39472 || Instance: Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r 
Date: Jun 21, 2022 || User: 16938 || Instance: December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906  
Date: Dec 27, 2023 || User: 73080 || Instance: from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop 
Date: May 23, 2023 || User: 22976 || Instance: Pls pls find out from aunt nike. 
Date: Nov 13, 2022 || User: 25492 || Instance: Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603 
Date: Aug 20, 2023 || User: 36991 || Instance: 500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION 
Date: May 21, 2023 || User: 32641 || Instance: Yup... How ü noe leh... 
Date: Feb 16, 2023 || User: 36952 || Instance: I might go 2 sch. Yar at e salon now v boring. 
Date: Sep 10, 2024 || User: 66036 || Instance: It should take about  &lt;#&gt;  min 
Date: Aug 31, 2024 || User: 78655 || Instance: Watching tv lor. Nice one then i like lor. 
Date: May 04, 2025 || User: 82971 || Instance: CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+ 
Date: Feb 10, 2024 || User: 40538 || Instance: Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla.. 
Date: Oct 04, 2023 || User: 47041 || Instance: URGENT! Your mobile No 077xxx WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm 
Date: Aug 29, 2023 || User: 98112 || Instance: LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts 
Date: Jul 07, 2023 || User: 73737 || Instance: U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS 
Date: Jun 30, 2024 || User: 33026 || Instance: She.s find. I sent you an offline message to know how anjola's now. 
Date: Aug 26, 2023 || User: 92324 || Instance: URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm 
Date: Jul 10, 2024 || User: 84689 || Instance: Looks like you found something to do other than smoke, great job! 
Date: Apr 05, 2023 || User: 62296 || Instance: Designation is software developer and may be she get chennai:) 
Date: Dec 18, 2024 || User: 15884 || Instance: SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO 
Date: Apr 18, 2025 || User: 99752 || Instance: Hope you are having a good week. Just checking in 
Date: Apr 15, 2025 || User: 96507 || Instance: I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate) 
Date: Apr 28, 2025 || User: 81774 || Instance: u r a winner U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ) 
Date: Apr 05, 2025 || User: 25640 || Instance: You have 1 new message. Please call 08712400200. 
Date: Sep 23, 2024 || User: 10375 || Instance: S now only i took tablets . Reaction morning only. 
Date: Apr 27, 2024 || User: 40235 || Instance: Yup... From what i remb... I think should be can book...  
Date: May 13, 2022 || User: 98087 || Instance: URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only 
Date: Feb 22, 2024 || User: 38602 || Instance: No objection. My bf not coming. 
Date: Aug 21, 2024 || User: 98087 || Instance: FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk 
Date: Mar 14, 2024 || User: 23965 || Instance: Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go 
Date: Aug 11, 2023 || User: 96507 || Instance: To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT 
Date: Feb 17, 2023 || User: 64710 || Instance: The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences... 
Date: May 15, 2022 || User: 77721 || Instance: Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?" 
Date: Jun 16, 2024 || User: 69416 || Instance: Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday. 
Date: Feb 01, 2024 || User: 62250 || Instance: How much you got for cleaning 
Date: Jul 31, 2024 || User: 30149 || Instance: Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant. 
Date: Jun 21, 2025 || User: 33563 || Instance: Please CALL 08712402972 immediately as there is an urgent message waiting for you 
Date: Apr 28, 2023 || User: 56842 || Instance: XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription  
Date: Jan 13, 2025 || User: 84115 || Instance: You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated. 
Date: Apr 17, 2022 || User: 44284 || Instance: Yeah I should be able to, I'll text you when I'm ready to meet up 
Date: Sep 23, 2024 || User: 37617 || Instance: Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL 
Date: Apr 21, 2022 || User: 53445 || Instance: True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it. 
Date: Mar 09, 2022 || User: 38851 || Instance: Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah? 
Date: Jan 30, 2025 || User: 41999 || Instance: Okie.. Thanx.. 
Date: Nov 15, 2023 || User: 73168 || Instance: Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins 
Date: Nov 16, 2023 || User: 27244 || Instance: You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again 
Date: Jun 06, 2022 || User: 78157 || Instance: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv 
Date: Mar 30, 2024 || User: 23309 || Instance: Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch  
Date: Mar 12, 2023 || User: 33376 || Instance: Yup n her fren lor. I'm meeting my fren at 730. 
Date: Jun 10, 2023 || User: 81413 || Instance: Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs 
Date: Nov 17, 2024 || User: 70891 || Instance: URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm 
Date: Feb 01, 2025 || User: 77721 || Instance: Ok thanx... Take care then... 
Date: Sep 03, 2022 || User: 28743 || Instance: Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me. 
Date: Sep 21, 2023 || User: 91010 || Instance: Or remind me in a few hrs. 
Date: Mar 19, 2024 || User: 85946 || Instance: Siva is in hostel aha:-. 
Date: May 28, 2024 || User: 90821 || Instance: Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties... 
Date: Apr 27, 2025 || User: 40235 || Instance: Nothing spl..wat abt u and whr ru? 
Date: Jun 02, 2024 || User: 78655 || Instance: Whats the staff name who is taking class for us? 
Date: Apr 09, 2024 || User: 14234 || Instance: Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck! 
Date: Jun 17, 2024 || User: 86576 || Instance: Best line said in Love: . "I will wait till the day I can forget u Or The day u realize that u cannot forget me."... Gn 
Date: Mar 02, 2022 || User: 56842 || Instance: Lol yeah at this point I guess not 
Date: Mar 11, 2022 || User: 52168 || Instance: Hey tmr meet at bugis 930 ? 
Date: May 05, 2023 || User: 84410 || Instance: Missed call alert. These numbers called but left no message. 07008009200 
Date: Jan 05, 2025 || User: 67756 || Instance: Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo 
Date: Jul 14, 2024 || User: 82971 || Instance: Ü all write or wat.. 
Date: Sep 11, 2023 || User: 69416 || Instance: Draw va?i dont think so:) 
Date: Sep 27, 2024 || User: 22976 || Instance: hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx 
Date: Jul 26, 2024 || User: 43378 || Instance: I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA 
Date: Dec 02, 2023 || User: 19732 || Instance: I'm in office now . I will call you  &lt;#&gt;  min:) 
Date: Nov 26, 2023 || User: 51941 || Instance: I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me? 
Date: Jul 01, 2022 || User: 60893 || Instance: Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase 
Date: Mar 25, 2023 || User: 14234 || Instance: Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP. 
Date: Mar 30, 2025 || User: 80388 || Instance: Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16 
Date: May 02, 2023 || User: 44123 || Instance: Adult 18 Content Your video will be with you shortly 
Date: Jul 08, 2022 || User: 41222 || Instance: "What are youdoing later? Sar xxx" 
Date: Feb 11, 2024 || User: 38687 || Instance: Networking technical support associate. 
Date: Feb 23, 2024 || User: 73080 || Instance: Is ur paper in e morn or aft tmr? 
Date: Feb 29, 2024 || User: 36952 || Instance: Then cant get da laptop? My matric card wif ü lei...  
Date: Jun 21, 2022 || User: 27912 || Instance: Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...  
Date: Nov 16, 2024 || User: 38024 || Instance: Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just £5 by replying GET BBDELUXE and take the challenge 
Date: Dec 03, 2023 || User: 66036 || Instance: URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only 
Date: Sep 16, 2022 || User: 80228 || Instance: Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back 
Date: Mar 29, 2024 || User: 26537 || Instance: Tomarrow final hearing on my laptop case so i cant. 
Date: Nov 23, 2023 || User: 51941 || Instance: Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone 
Date: May 29, 2024 || User: 87718 || Instance: have got * few things to do. may be in * pub later. 
Date: Jan 01, 2023 || User: 42280 || Instance: Probably gonna be here for a while, see you later tonight &lt;) 
Date: Sep 19, 2024 || User: 70397 || Instance: Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u.. 
Date: Aug 28, 2024 || User: 47041 || Instance: I am in office:)whats the matter..msg me now.i will call you at break:). 
Date: Dec 24, 2023 || User: 67277 || Instance: Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p 
Date: Aug 18, 2024 || User: 10364 || Instance: Yeah, give me a call if you've got a minute 
Date: Apr 16, 2025 || User: 81449 || Instance: Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 
Date: Dec 16, 2023 || User: 66036 || Instance: I've reached sch already... 
Date: Dec 26, 2022 || User: 49455 || Instance: Probably gonna swing by in a wee bit 
Date: Dec 19, 2023 || User: 82026 || Instance: My painful personal thought- "I always try to keep everybody happy all the time. But nobody recognises me when i am alone" 
Date: Nov 20, 2022 || User: 77714 || Instance: Wat time r ü going to xin's hostel? 
Date: Aug 26, 2024 || User: 55993 || Instance: We're on the opposite side from where we dropped you off 
Date: Apr 24, 2022 || User: 55235 || Instance: 0A$NETWORKS allow companies to bill for SMS, so they are responsible for their "suppliers", just as a shop has to give a guarantee on what they sell. B. G. 
Date: May 31, 2023 || User: 47803 || Instance: Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala 
Date: Aug 07, 2023 || User: 28731 || Instance: What about this one then. 
Date: May 22, 2023 || User: 42280 || Instance: * Am on a train back from northampton so i'm afraid not! 
Date: Feb 19, 2022 || User: 43166 || Instance: I'll be late... 
Date: Jan 20, 2024 || User: 47041 || Instance: 2/2 146tf150p 
Date: Jul 23, 2023 || User: 44123 || Instance: Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk 
Date: Nov 12, 2024 || User: 61143 || Instance: Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per.. 
Date: Dec 10, 2022 || User: 77721 || Instance: K.k.how is your business now? 
Date: Feb 10, 2025 || User: 27239 || Instance: Then she dun believe wat? 
Date: Jul 10, 2022 || User: 42736 || Instance: Ok... Help me ask if she's working tmr a not? 
Date: Apr 16, 2024 || User: 86036 || Instance: You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS 
Date: Sep 14, 2024 || User: 69416 || Instance: Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow 
